species_name,dimorphism,source,synonym,tree_tip_names
Anchistea_virginica,ELD,"Collector: Frederick W. Case, Jr. Number: s.n Collector: F. A. Swink
Number: 2533",,Woodwardia_virginica
Brainea_insignis,ELD,,,Brainea_insignis
Doodia_caudata,ELD,"Collector: M. S. Clemens
Number: s.n. Collector: E. F. Constable
Number: s.n.",,Doodia_caudata
Salpichlaena_volubilis,ELD,"Collector: R. S. Williams Number: 1147 Collector: J. Cuatrecasas
Number: 7871",,Salpichlaena_volubilis
Telmatoblechnum_serrulatum,ELD,"Collector: F. S. Blanton Number: 6722 Collector: Paul Corogin
Number: SB233 Collector: G. Hatschbach
Number: s.n.",,Telmatoblechnum_serrulatum
Athyriumfilix-femina,monomorphic,pers. obs,,Athyriumfilix-femina
Blechnidium_melanopus,monomorphic,"Collector: E. Zogg
Number: 6234",Blechnum melanopus,Blechnum_melanopus
Blechnopsis_orientalis,monomorphic,"Collector: H. St. John Number: 19157 Collector: R. W. Squires
Number: 158",,Blechnum_orientale
Blechnum_appendiculatum,monomorphic,"Collector: Y. Mexia
Number: 7812",,Blechnum_appendiculatum
Blechnum_asplenioides,monomorphic,"Family: Blechnaceae
Collector: A. Macedo
Number: 3925",,Blechnum_asplenioides
Blechnum_auriculatum,monomorphic,"Collector: T. Pederson
Number: 154",,Blechnum_auriculatum
Blechnum_hastatum,monomorphic,"Collector: Frere Claude Joseph
Number: 3364 Collector: T. Pederson
Number: 262",,Blechnum_hastatum
Blechnum_laevigatum,monomorphic,"Collector: Gibert
Number: 602",,Blechnum_laevigatum
Blechnum_lanceola,NELD,"Collector: J. P. Schulz
Number: 10153 Collector: G. O. A. Malme
Number: 1714",,Blechnum_lanceola
Cleistoblechnum_eburneum,monomorphic,"Collector: A. N. Steward, C. Y. Chiao & H. Cheo
Number: 195",Blechnum eburneum,Blechnum_eburneum
Doodia_aspera,monomorphic,"Collector: M. Tindale
Number: P5176 Collector: E. Zogg & H. Gassner
Number: 9007",,Doodia_aspera
Doodia_kunthiana,monomorphic,"Collector: F. R. Fosberg
Number: 9364 Collector: Forbes, C.N.
Number: Collector Number: 851.K",,Doodia_kunthiana
Doodia_media,monomorphic,"Collector: A. C. Smith
Number: 5973 Collector: F. R. Fosberg
Number: 30278",,Doodia_media
Doodia_paschalis,monomorphic,"Collector: C. Skottsberg
Number: 655",,Doodia_paschalis
Neoblechnum_brasiliense,monomorphic,"Collector: J. Conrad
Number: 1981 Collector: J. R. I. Wood
Number: 13975",,Blechnum_brasiliense
Oceaniopteris_cartilaginea,monomorphic,"Collector: A. Meebold
Number: 3478 Collector: T. T. Earle
Number: s.n. Collector: E. Nielsen
Number: 495",Blechnum cartilagineum,Blechnum_cartilagineum
Sadleria_cyatheoides,monomorphic,"Collector: H. St. John Number: 25206 Collector: Harold St. John
Number: 24819",,Sadleria_cyatheoides
Sadleria_pallida,monomorphic,"Collector: Warren H. Wagner, Jr. Number: 9646 Collector: Wilkes Explor. Exped.
Number: 13 Collector: D. L. Topping Number: 3772",Blechnum pallidum,Sadleria_pallida_U05943
Sadleria_souleytiana,monomorphic,"Collector: Harold St. John Number: 25292 Collector: Harold St. John, W.H. Hathaway & N.E. Morton
Number: 24015",,Sadleria_souleyetiana_AB040591
Sadleria_squarrosa,monomorphic,"Collector: Munro, G.C.
Number: 940  Collector: Edwin Bonsey; Hugh H. Iltis; Michael Iltis
Number: 464",,Sadleria_squarrosa_AB040592
Sadleria_unisora,monomorphic,"Collector: W. Hancock
Number: 24",,Sadleria_unisora_AB040593
Telmatoblechnum_indicum,monomorphic,Collector: Alfonso Jiménez M. Number: 1139,Blechnum indicum,Telmatoblechnum_indicum
Woodwardia_auriculata,monomorphic,"Collector: R. E. Holttum Number: Singpore Field 26205 Collector: W. Palmer & O. Bryant
Number: 471",,Woodwardia_auriculata
Woodwardia_cf._spinulosa,monomorphic,"Collector: E. K. Balls Number: 4375 Collector: E. Matuda
Number: 26860",Woodwardia spinulosa,Woodwardia_cf._spinulosa
Woodwardia_fimbriata,monomorphic,"Collector: ex herb. Mr. D. Cleveland Number: s.n.  Collector: E. Palmer
Number: 429 bis",,Woodwardia_fimbriata
