species,state,fert_ster_leaf_area_diff,fert_ster_leaf_perim_diff,fert_ster_leaf_length_diff,soral_lamina_ratio,ster_leaf_disection,fert_leaf_dissection,stat2
Anchistea virginica,Mono,1.368,1.313,1.174,0.722,5.542,5.319,Mono
Athyriumfilix-femina,Mono,0.446,0.622,0.696,0.99,7.479,10.444,Mono
Austroblechnum colensoi,NELD,0.124,0.753,0.564,1,1.273,7.749,Non-mono
Austroblechnum divergens,NELD,0.158,1.047,1.185,1,2.402,15.892,Non-mono
Austroblechnum durum,NELD,0.096,0.406,0.43,1,5.999,25.355,Non-mono
Austroblechnum lechleri,NELD,0.363,0.916,1.023,1,4.463,11.261,Non-mono
Austroblechnum lehmannii,NELD,0.227,0.892,1.006,1,3.287,12.932,Non-mono
Austroblechnum leyboldtianum,NELD,0.53,0.818,0.877,1,4.832,7.459,Non-mono
Austroblechnum melanocaulon,NELD,0.206,0.66,0.638,1,2.366,7.59,Non-mono
Austroblechnum membranaceum,NELD,0.799,1.481,1.697,1,6.214,11.519,Non-mono
Austroblechnum microphyllum,NELD,0.296,0.82,0.847,1,9.251,25.627,Non-mono
Austroblechnum norfolkianum,NELD,0.17,0.863,0.841,1,2.633,13.35,Non-mono
Austroblechnum patersonii subssp. patersonii,NELD,0.177,0.746,0.95,1.671,1.459,6.164,Non-mono
Austroblechnum penna-marina,NELD,0.253,0.67,0.684,1,4.636,12.287,Non-mono
Austroblechnum squamipes,NELD,0.16,0.607,0.687,1,4.791,18.152,Non-mono
Austroblechnum stoloniferum,NELD,0.288,0.97,1.154,1,6.657,22.417,Non-mono
Austroblechnum wardiae,NELD,0.095,0.997,1.147,1,2.269,23.806,Non-mono
Blechnidium melanopus,Mono,0.911,0.984,0.998,0.232,9.214,9.946,Mono
Blechnum appendiculatum,Mono,0.982,1.007,1.023,0.119,3.75,3.844,Mono
Blechnum asplenioides,Mono,0.897,0.773,0.888,0.281,13.309,11.459,Mono
Blechnum auriculatum,Mono,0.72,0.807,0.761,0.385,4.559,5.108,Mono
Blechnum hastatum,Mono,1.029,1.133,1.17,0.046,4.563,5.025,Mono
Blechnum laevigatum,Mono,1.963,1.61,1.692,0.194,6.763,5.546,Mono
Blechnum lanceola,Mono,0.205,0.648,0.701,1,3.428,10.818,Mono
Blechnum punctulatum,NELD,0.988,1.653,1.697,0.595,4.923,8.239,Non-mono
Cleistoblechnum eburneum,Mono,0.795,1.07,1.094,0.862,5.335,7.182,Mono
Cranfillia fluviatilis,NELD,0.078,0.509,0.6,1,4.02,26.204,Non-mono
